mass_A
t,x,y
4.291666667E-1,-7.973865814E-1,-1.999794268E1
4.333333333E-1,-7.850449176E-1,-2.000684268E1
4.375000000E-1,-8.062130112E-1,-1.999133588E1
4.416666667E-1,-8.932207646E-1,-2.000327764E1
4.458333333E-1,-1.051497181E0,-1.999409934E1
4.500000000E-1,-1.220062476E0,-2.001169634E1
4.541666667E-1,-1.409415363E0,-1.998353240E1
4.583333333E-1,-1.628372898E0,-1.997140235E1
4.625000000E-1,-1.847908515E0,-1.996719921E1
4.666666667E-1,-2.011642060E0,-1.995740075E1
4.708333333E-1,-2.196514946E0,-1.995197154E1
4.750000000E-1,-2.316923311E0,-1.994567781E1
4.791666667E-1,-2.390357080E0,-1.993398811E1
4.833333333E-1,-2.435942558E0,-1.993963249E1
4.875000000E-1,-2.403368614E0,-1.994330515E1
4.916666667E-1,-2.342953740E0,-1.994633479E1
4.958333333E-1,-2.235142309E0,-1.994922814E1
5.000000000E-1,-2.112323742E0,-1.995284593E1
5.041666667E-1,-1.987276154E0,-1.995970541E1
5.083333333E-1,-1.845284384E0,-1.996593394E1
5.125000000E-1,-1.663714078E0,-1.997553449E1
5.166666667E-1,-1.538235149E0,-1.998316500E1
5.208333333E-1,-1.412426444E0,-1.997277256E1
5.250000000E-1,-1.352540660E0,-1.997173463E1
5.291666667E-1,-1.272681455E0,-1.997366862E1
5.333333333E-1,-1.260581543E0,-1.997198384E1
5.375000000E-1,-1.247460145E0,-1.997477547E1
5.416666667E-1,-1.270532082E0,-1.997469690E1
5.458333333E-1,-1.286966142E0,-1.997412025E1
5.500000000E-1,-1.386099999E0,-1.997024215E1
5.541666667E-1,-1.490735218E0,-1.996882270E1
5.583333333E-1,-1.552788217E0,-1.997118712E1
5.625000000E-1,-1.645552337E0,-1.997300671E1
5.666666667E-1,-1.748268412E0,-1.996206602E1
5.708333333E-1,-1.819168240E0,-1.995709010E1
5.750000000E-1,-1.865397781E0,-1.995543773E1
5.791666667E-1,-1.886956356E0,-1.996532961E1
5.833333333E-1,-1.917528664E0,-1.996737456E1
5.875000000E-1,-1.902085372E0,-1.996494716E1
5.916666667E-1,-1.867112172E0,-1.996222638E1
5.958333333E-1,-1.842500656E0,-1.995748713E1
6.000000000E-1,-1.777348307E0,-1.998346413E1
6.041666667E-1,-1.675572223E0,-1.997282534E1
6.083333333E-1,-1.624477272E0,-1.997183941E1
6.125000000E-1,-1.564445911E0,-1.997974199E1
6.166666667E-1,-1.499642826E0,-1.997270340E1
6.208333333E-1,-1.414993973E0,-1.997570529E1
6.250000000E-1,-1.389321985E0,-1.997775462E1
6.291666667E-1,-1.360061910E0,-1.997996255E1
6.333333333E-1,-1.364146177E0,-1.997018336E1
6.375000000E-1,-1.371459977E0,-1.997366130E1
6.416666667E-1,-1.384838528E0,-1.997284592E1
6.458333333E-1,-1.392158747E0,-1.996955634E1
6.500000000E-1,-1.412478291E0,-1.996696546E1
6.541666667E-1,-1.445508330E0,-1.996918302E1
6.583333333E-1,-1.502212090E0,-1.995816049E1
6.625000000E-1,-1.520913306E0,-1.996457712E1
6.666666667E-1,-1.538362818E0,-1.996016371E1
6.708333333E-1,-1.605182176E0,-1.996163320E1
6.750000000E-1,-1.620138975E0,-1.995472551E1
6.791666667E-1,-1.623277683E0,-1.996650721E1
6.833333333E-1,-1.630101796E0,-1.995697716E1
6.875000000E-1,-1.628173697E0,-1.996561712E1
6.916666667E-1,-1.623070770E0,-1.996818935E1
6.958333333E-1,-1.611632089E0,-1.996772853E1
7.000000000E-1,-1.588523463E0,-1.997237590E1
7.041666667E-1,-1.536118151E0,-1.997369682E1
7.083333333E-1,-1.506308865E0,-1.997319775E1
7.125000000E-1,-1.491229413E0,-1.996859488E1
7.166666667E-1,-1.471161105E0,-1.997978887E1
7.208333333E-1,-1.422066480E0,-1.997458671E1
7.250000000E-1,-1.391878998E0,-1.997356310E1
7.291666667E-1,-1.391916115E0,-1.997396147E1
7.333333333E-1,-1.397413052E0,-1.998044160E1
7.375000000E-1,-1.387288643E0,-1.997757114E1
7.416666667E-1,-1.388299240E0,-1.997068175E1
7.458333333E-1,-1.388866121E0,-1.997031726E1
7.500000000E-1,-1.398764380E0,-1.997779876E1
7.541666667E-1,-1.396827566E0,-1.997032448E1
7.583333333E-1,-1.436855674E0,-1.996770397E1
7.625000000E-1,-1.412175102E0,-1.997447154E1
7.666666667E-1,-1.472505611E0,-1.996246298E1
7.708333333E-1,-1.490959103E0,-1.996407261E1
7.750000000E-1,-1.479930740E0,-1.996540386E1
7.791666667E-1,-1.494669935E0,-1.996384621E1
7.833333333E-1,-1.495422418E0,-1.996742909E1
7.875000000E-1,-1.499028283E0,-1.996771959E1
7.916666667E-1,-1.495004093E0,-1.996717904E1
